datetime,prefecture,ret_offices,ret_employees,ret_sales
2007-01-01,滋賀県,14008 ,103138 ,2516575000000 
2012-01-01,滋賀県,13520 ,105169 ,2164990000000 
2014-01-01,滋賀県,13669 ,107649 ,2333860000000 
1988-01-01,京都府,48229 ,261175 ,8404914000000 
1991-01-01,京都府,47891 ,265110 ,10150590000000 
1994-01-01,京都府,45442 ,275638 ,9828027000000 
1997-01-01,京都府,42107 ,264609 ,9538921000000 
1999-01-01,京都府,42480 ,275904 ,8824399000000 
2002-01-01,京都府,38196 ,257523 ,7298154000000 
2004-01-01,京都府,37377 ,254510 ,7448711000000 
2007-01-01,京都府,34767 ,249668 ,7396170000000 
2012-01-01,京都府,30538 ,236942 ,6830092000000 
2014-01-01,京都府,30363 ,240578 ,5972895000000 
1988-01-01,大阪府,165755 ,1078423 ,79973559000000 
1991-01-01,大阪府,164438 ,1122947 ,98117511000000 
1994-01-01,大阪府,153599 ,1103060 ,85544032000000 
1997-01-01,大阪府,142640 ,1044275 ,82880274000000 
1999-01-01,大阪府,142380 ,1108582 ,76602307000000 
2002-01-01,大阪府,126120 ,1049502 ,63063743000000 
2004-01-01,大阪府,120342 ,976734 ,60096953000000 
2007-01-01,大阪府,107650 ,913217 ,61660209000000 
2012-01-01,大阪府,105056 ,944558 ,53221666000000 
2014-01-01,大阪府,104838 ,984258 ,47303124000000 
1988-01-01,兵庫県,87327 ,430523 ,13984717000000 
1991-01-01,兵庫県,87409 ,450977 ,18135869000000 
1994-01-01,兵庫県,82149 ,471693 ,18018358000000 
1997-01-01,兵庫県,73609 ,441909 ,16346665000000 
1999-01-01,兵庫県,74205 ,482805 ,15870301000000 
2002-01-01,兵庫県,68451 ,453965 ,13177565000000 
2004-01-01,兵庫県,66265 ,445928 ,12914696000000 
2007-01-01,兵庫県,61597 ,434283 ,13269264000000 
2012-01-01,兵庫県,56671 ,426705 ,13077182000000 
2014-01-01,兵庫県,56981 ,442351 ,12107936000000 
1988-01-01,奈良県,17575 ,79660 ,1898309000000 
1991-01-01,奈良県,18255 ,83037 ,2274529000000 
1994-01-01,奈良県,16719 ,87119 ,2287093000000 
1997-01-01,奈良県,15681 ,86255 ,2361708000000 
1999-01-01,奈良県,16175 ,95791 ,2360174000000 
2002-01-01,奈良県,14838 ,97972 ,2096700000000 
2004-01-01,奈良県,14507 ,97508 ,2146574000000 
2007-01-01,奈良県,13460 ,93360 ,2126234000000 
2012-01-01,奈良県,12434 ,88198 ,1735192000000 
2014-01-01,奈良県,12538 ,90298 ,1842938000000 
1988-01-01,和歌山県,22001 ,89582 ,2020154000000 
1991-01-01,和歌山県,21587 ,89607 ,2317827000000 
1994-01-01,和歌山県,19785 ,88292 ,2301094000000 
1997-01-01,和歌山県,18705 ,85986 ,2244941000000 
1999-01-01,和歌山県,18783 ,91560 ,2241462000000 
2002-01-01,和歌山県,17258 ,89961 ,1952240000000 
2004-01-01,和歌山県,16739 ,84904 ,1855756000000 
2007-01-01,和歌山県,14871 ,82554 ,1866101000000 
2012-01-01,和歌山県,13910 ,79010 ,1777699000000 
2014-01-01,和歌山県,13370 ,79689 ,1824230000000 
1988-01-01,鳥取県,11079 ,52544 ,1517561000000 
1991-01-01,鳥取県,11062 ,54291 ,1750081000000 
1994-01-01,鳥取県,10388 ,54809 ,1747118000000 
1997-01-01,鳥取県,9839 ,55594 ,1870914000000 
1999-01-01,鳥取県,9380 ,55617 ,1686139000000 
2002-01-01,鳥取県,8886 ,55331 ,1507277000000 
2004-01-01,鳥取県,8482 ,51922 ,1478413000000 
2007-01-01,鳥取県,7770 ,50030 ,1348156000000 
2012-01-01,鳥取県,7216 ,46063 ,1108140000000 
2014-01-01,鳥取県,7171 ,47302 ,1162837000000 
1988-01-01,島根県,15771 ,66845 ,1735214000000 
1991-01-01,島根県,15823 ,68069 ,1945218000000 
1994-01-01,島根県,14344 ,67380 ,1872464000000 
1997-01-01,島根県,13612 ,65581 ,2018762000000 
1999-01-01,島根県,13993 ,69388 ,1869131000000 
2002-01-01,島根県,12940 ,68204 ,1705491000000 
2004-01-01,島根県,12087 ,64344 ,1642950000000 
2007-01-01,島根県,10782 ,59793 ,1421377000000 
2012-01-01,島根県,10189 ,56412 ,1220994000000 
2014-01-01,島根県,9794 ,56945 ,1381681000000 
1988-01-01,岡山県,32748 ,160596 ,5323789000000 
1991-01-01,岡山県,32765 ,168309 ,6628500000000 
1994-01-01,岡山県,29820 ,168985 ,6725831000000 
1997-01-01,岡山県,28259 ,163554 ,6394917000000 
1999-01-01,岡山県,29090 ,182454 ,6402412000000 
2002-01-01,岡山県,26243 ,171028 ,5518944000000 
2004-01-01,岡山県,25468 ,166363 ,5451640000000 
2007-01-01,岡山県,23097 ,160901 ,5181731000000 
2012-01-01,岡山県,22174 ,157403 ,4692991000000 
2014-01-01,岡山県,22037 ,163919 ,4579628000000 
