datetime,prefecture,idt_offices,idt_employees,idt_salaries,idt_costs,idt_sales
2006-01-01,福岡県,6620,221693,952846000000,4886369000000,8159756000000
2006-01-01,佐賀県,1683,62553,231131000000,987893000000,1710090000000
2006-01-01,長崎県,2280,58324,217523000000,858810000000,1514787000000
2006-01-01,熊本県,2500,98646,372804000000,1660028000000,2833205000000
2006-01-01,大分県,1867,70479,272644000000,2556484000000,3891442000000
2006-01-01,宮崎県,1697,59049,191757000000,779568000000,1332060000000
2006-01-01,鹿児島県,2599,75473,259566000000,1016283000000,1834447000000
2006-01-01,沖縄県,1327,24467,65591000000,340903000000,528281000000
2007-01-01,北海道,6752,189875,639983000000,3692055000000,5739595000000
2007-01-01,青森県,1748,65475,194559000000,906129000000,1651106000000
2007-01-01,岩手県,2678,102805,341901000000,1672358000000,2633458000000
2007-01-01,宮城県,3458,128632,475327000000,2188558000000,3551616000000
2007-01-01,秋田県,2346,78143,245740000000,1021178000000,1661481000000
2007-01-01,山形県,3246,118382,411010000000,1927793000000,3206128000000
2007-01-01,福島県,4848,192594,754578000000,3554616000000,6180558000000
2007-01-01,茨城県,6625,290050,1312037000000,8365044000000,12744079000000
2007-01-01,栃木県,5418,218656,1019790000000,5733001000000,9245343000000
2007-01-01,群馬県,6278,214374,940289000000,5017635000000,8144542000000
2007-01-01,埼玉県,15135,440359,1876010000000,9350398000000,14947550000000
2007-01-01,千葉県,6546,231957,1085974000000,9613141000000,14318412000000
2007-01-01,東京都,18681,371206,1785816000000,6215880000000,10638260000000
2007-01-01,神奈川県,10823,435767,2341546000000,12578099000000,20201158000000
2007-01-01,新潟県,6599,203277,763062000000,2971180000000,5209244000000
2007-01-01,富山県,3305,128753,550704000000,2359238000000,3960084000000
2007-01-01,石川県,3668,102337,410093000000,1672031000000,2874275000000
2007-01-01,福井県,2859,78164,308801000000,1305071000000,2161224000000
2007-01-01,山梨県,2414,81476,354253000000,1636083000000,2751359000000
2007-01-01,長野県,6358,222000,964666000000,4344344000000,7033203000000
2007-01-01,岐阜県,7508,216652,863952000000,3563092000000,5878617000000
2007-01-01,静岡県,12427,457695,2142272000000,11712861000000,19410264000000
2007-01-01,愛知県,21768,876351,4553380000000,31731468000000,47482703000000
2007-01-01,三重県,4598,212181,1027271000000,7426111000000,11601777000000
2007-01-01,滋賀県,3259,162222,783648000000,4349512000000,7232429000000
2007-01-01,京都府,5747,161222,734739000000,2981010000000,6134039000000
2007-01-01,大阪府,23553,532460,2419201000000,10675046000000,17961504000000
2007-01-01,兵庫県,10871,383164,1767621000000,9920433000000,15784639000000
2007-01-01,奈良県,2583,71299,303289000000,1534416000000,2493839000000
2007-01-01,和歌山県,2145,52367,207865000000,2079323000000,3158950000000
2007-01-01,鳥取県,1110,40158,129687000000,681789000000,1140796000000
