datetime,prefecture,pop_male,pop_female,pop_sum,pop_households
2004-01-01,埼玉県,3525294,3455595,6980889,2660152
2004-01-01,千葉県,3016885,2984147,6001032,2348339
2004-01-01,東京都,6009113,6073030,12082143,5776805
2004-01-01,神奈川県,4355073,4245036,8600109,3602950
2004-01-01,新潟県,1192961,1263035,2455996,810483
2004-01-01,富山県,539805,578856,1118661,367754
2004-01-01,石川県,567181,607890,1175071,417164
2004-01-01,福井県,400155,424669,824824,260744
2004-01-01,山梨県,433943,448735,882678,319146
2004-01-01,長野県,1075953,1124943,2200896,777553
2004-01-01,岐阜県,1027060,1079857,2106917,701408
2004-01-01,静岡県,1861708,1911432,3773140,1347330
2004-01-01,愛知県,3515928,3511571,7027499,2634915
2004-01-01,三重県,903688,954085,1857773,672654
2004-01-01,滋賀県,666501,687392,1353893,460199
2004-01-01,京都府,1238089,1327335,2565424,1048788
2004-01-01,大阪府,4230586,4421391,8651977,3657248
2004-01-01,兵庫県,2688548,2878018,5566566,2187130
2004-01-01,奈良県,691763,747277,1439040,525535
2004-01-01,和歌山県,511038,562396,1073434,411063
2004-01-01,鳥取県,294537,320113,614650,216963
2004-01-01,島根県,359589,392945,752534,267189
2004-01-01,岡山県,943513,1013756,1957269,732253
2004-01-01,広島県,1389212,1480343,2869555,1161859
2004-01-01,山口県,716177,796156,1512333,620630
2004-01-01,徳島県,393861,429443,823304,305362
2004-01-01,香川県,495991,533365,1029356,389901
2004-01-01,愛媛県,710128,786801,1496929,603933
2004-01-01,高知県,382442,427112,809554,341873
2004-01-01,福岡県,2385375,2625484,5010859,2023115
2004-01-01,佐賀県,416405,460635,877040,293751
2004-01-01,長崎県,712011,799053,1511064,591017
2004-01-01,熊本県,881795,981100,1862895,690743
2004-01-01,大分県,580694,646413,1227107,480113
2004-01-01,宮崎県,557372,620083,1177455,475947
2004-01-01,鹿児島県,832358,937574,1769932,759742
2004-01-01,沖縄県,672825,689303,1362128,501093
2005-01-01,北海道,2688938,2943195,5632133,5653027
2005-01-01,青森県,701710,766898,1468608,1472631
2005-01-01,岩手県,673774,722863,1396637,1397139
2005-01-01,宮城県,1145558,1202412,2347970,2351898
2005-01-01,秋田県,553269,611120,1164389,1166634
2005-01-01,山形県,588539,630336,1218875,1220865
2005-01-01,福島県,1028079,1079721,2107800,2110337
2005-01-01,茨城県,1493694,1495035,2988729,2992660
2005-01-01,栃木県,999068,1008968,2008036,2010710
2005-01-01,群馬県,998641,1022093,2020734,2022460
2005-01-01,埼玉県,3531323,3465205,6996528,7002824
2005-01-01,千葉県,3021369,2993215,6014584,6023696
2005-01-01,東京都,6047471,6120776,12168247,12183509
2005-01-01,神奈川県,4372897,4271134,8644031,8652841
2005-01-01,新潟県,1187449,1258358,2445807,2449888
2005-01-01,富山県,538757,577630,1116387,1117688
2005-01-01,石川県,565267,606866,1172133,1173849
2005-01-01,福井県,398946,423459,822405,823652
2005-01-01,山梨県,433064,447883,880947,881966
2005-01-01,長野県,1071790,1121629,2193419,2196828
2005-01-01,岐阜県,1026636,1079657,2106293,2109006
2005-01-01,静岡県,1862300,1911526,3773826,3776552
2005-01-01,愛知県,3535146,3527616,7062762,7072191
2005-01-01,三重県,904443,953583,1858026,1859896
2005-01-01,滋賀県,669133,690140,1359273,1360552
2005-01-01,京都府,1236917,1328253,2565170,2567874
2005-01-01,大阪府,4224272,4427029,8651301,8659435
2005-01-01,兵庫県,2688226,2882922,5571148,5577609
2005-01-01,奈良県,688853,745695,1434548,1435622
2005-01-01,和歌山県,507599,559515,1067114,1068415
2005-01-01,鳥取県,293262,318929,612191,613601
2005-01-01,島根県,356730,390739,747469,749700
2005-01-01,岡山県,942513,1012804,1955317,1957964
2005-01-01,広島県,1388159,1480092,2868251,2872530
2005-01-01,山口県,712739,792178,1504917,1506771
2005-01-01,徳島県,391534,427464,818998,820476
2005-01-01,香川県,495072,532333,1027405,1029007
2005-01-01,愛媛県,706778,784053,1490831,1494170
2005-01-01,高知県,379794,424927,804721,805621
2005-01-01,福岡県,2384726,2629453,5014179,5023093
2005-01-01,佐賀県,414717,459261,873978,875659
2005-01-01,長崎県,707001,795057,1502058,1506100
2005-01-01,熊本県,879052,978946,1857998,1862710
2005-01-01,大分県,580123,644769,1224892,1225364
2005-01-01,宮崎県,554961,617979,1172940,1176159
2005-01-01,鹿児島県,828732,934272,1763004,1771591
2005-01-01,沖縄県,677637,694751,1372388,1375760
2006-01-01,北海道,2685621,2944349,5629970,2580577
2006-01-01,青森県,697087,763057,1460144,559992
2006-01-01,岩手県,669048,719116,1388164,494553
2006-01-01,宮城県,1142742,1201827,2344569,873867
2006-01-01,秋田県,549091,607265,1156356,415268
2006-01-01,山形県,584990,627173,1212163,392726
2006-01-01,福島県,1024439,1076412,2100851,729712
2006-01-01,茨城県,1493593,1494940,2988533,1066417
2006-01-01,栃木県,1000048,1009450,2009498,721820
2006-01-01,群馬県,998401,1021636,2020037,737189
2006-01-01,埼玉県,3541321,3478598,7019919,2740244
2006-01-01,千葉県,3030365,3005293,6035658,2415289
2006-01-01,東京都,6098401,6174975,12273376,5965301
2006-01-01,神奈川県,4394049,4299324,8693373,3713460
2006-01-01,新潟県,1183816,1254666,2438482,824873
2006-01-01,富山県,538254,576460,1114714,376396
2006-01-01,石川県,564777,606329,1171106,427341
2006-01-01,福井県,398306,422767,821073,265138
2006-01-01,山梨県,432474,446765,879239,325265
2006-01-01,長野県,1070432,1120442,2190874,792352
2006-01-01,岐阜県,1025807,1079204,2105011,717915
2006-01-01,静岡県,1863993,1911910,3775903,1381349
2006-01-01,愛知県,3560668,3545917,7106585,2727161
2006-01-01,三重県,904792,952664,1857456,691279
2006-01-01,滋賀県,672580,692813,1365393,478096
2006-01-01,京都府,1237313,1329107,2566420,1073798
2006-01-01,大阪府,4226519,4437200,8663719,3737692
2006-01-01,兵庫県,2689148,2887636,5576784,2241030
2006-01-01,奈良県,686240,744126,1430366,535928
2006-01-01,和歌山県,504878,556681,1061559,417375
2006-01-01,鳥取県,292361,318073,610434,221162
2006-01-01,島根県,355392,389285,744677,271033
2006-01-01,岡山県,942876,1012043,1954919,750127
2006-01-01,広島県,1389895,1481012,2870907,1187580
2006-01-01,山口県,709842,789160,1499002,629841
2006-01-01,徳島県,390364,425957,816321,311575
2006-01-01,香川県,494399,531689,1026088,397801
2006-01-01,愛媛県,705084,781862,1486946,614046
2006-01-01,高知県,376792,422329,799121,345184
2006-01-01,福岡県,2390818,2637208,5028026,2078133
2006-01-01,佐賀県,413819,458483,872302,300048
2006-01-01,長崎県,703152,791727,1494879,599335
2006-01-01,熊本県,878889,979633,1858522,706000
2006-01-01,大分県,578569,643145,1221714,490431
2006-01-01,宮崎県,554890,617512,1172402,485582
2006-01-01,鹿児島県,827244,932406,1759650,771145
2006-01-01,沖縄県,681652,700168,1381820,523579
2007-01-01,北海道,2667157,2933548,5600705,2599764
2007-01-01,青森県,688786,756806,1445592,562919
2007-01-01,岩手県,663141,714525,1377666,497023
2007-01-01,宮城県,1139577,1200908,2340485,883414
2007-01-01,秋田県,542444,601385,1143829,415863
