datetime,prefecture,wag_age,wag_salary,wag_bonus,wag_workers
2013-01-01,新潟県,42.5,280400,603300,470450
2013-01-01,富山県,42.4,296200,684200,238780
2013-01-01,石川県,42.0,289900,674900,218770
2013-01-01,福井県,41.8,290800,671000,150720
2013-01-01,山梨県,42.3,302200,734100,135190
2013-01-01,長野県,42.5,299200,702400,368190
2013-01-01,岐阜県,42.2,302300,692300,348940
2013-01-01,静岡県,41.6,321400,825300,672180
2013-01-01,愛知県,41.0,348100,1003700,1552160
2013-01-01,三重県,41.4,318300,778700,313200
2013-01-01,滋賀県,41.5,328000,905200,236300
2013-01-01,京都府,41.2,327700,809500,374650
2013-01-01,大阪府,42.0,343800,858700,1771920
2013-01-01,兵庫県,42.2,327400,811700,844160
2013-01-01,奈良県,41.9,310500,737900,127540
2013-01-01,和歌山県,42.2,298900,712100,108520
2013-01-01,鳥取県,42.7,266100,593600,95650
2013-01-01,島根県,42.3,266900,567000,122150
2013-01-01,岡山県,41.1,305000,739100,334790
2013-01-01,広島県,41.9,312300,713500,533460
2013-01-01,山口県,43.1,290600,717700,246800
2013-01-01,徳島県,42.0,279200,701700,108470
2013-01-01,香川県,41.9,305300,678900,168160
2013-01-01,愛媛県,42.2,278100,647300,223810
2013-01-01,高知県,43.1,260700,536500,104140
2013-01-01,福岡県,42.3,305700,757700,937750
2013-01-01,佐賀県,42.4,255700,552200,141330
2013-01-01,長崎県,42.8,268700,553500,229360
2013-01-01,熊本県,42.2,270700,607100,293600
2013-01-01,大分県,42.5,267400,591800,200250
2013-01-01,宮崎県,42.8,245100,533500,168110
2013-01-01,鹿児島県,42.9,261900,555800,269710
2013-01-01,沖縄県,41.8,244200,397300,203930
2014-01-01,北海道,42.5,282300,628600,958470
2014-01-01,青森県,42.7,245700,488800,197420
2014-01-01,岩手県,42.7,257000,524600,247690
2014-01-01,宮城県,42.0,298200,710300,396200
2014-01-01,秋田県,43.1,258000,549900,176410
2014-01-01,山形県,42.8,265100,549800,204740
