datetime,prefecture,mig_in,mig_out,mig_internal
2006-01-01,京都府,3140,3211,3527
2006-01-01,大阪府,9141,9989,14168
2006-01-01,兵庫県,5806,5647,7980
2006-01-01,奈良県,1552,1822,1393
2006-01-01,和歌山県,787,937,899
2006-01-01,鳥取県,511,582,431
2006-01-01,島根県,669,655,484
2006-01-01,岡山県,1762,1860,1776
2006-01-01,広島県,2778,3055,4367
2006-01-01,山口県,1413,1559,1292
2006-01-01,徳島県,693,686,1060
2006-01-01,香川県,1025,1101,975
2006-01-01,愛媛県,1175,1262,1185
2006-01-01,高知県,562,742,954
2006-01-01,福岡県,5855,5402,11035
2006-01-01,佐賀県,940,1078,845
2006-01-01,長崎県,1329,1724,1231
2006-01-01,熊本県,1732,1722,2467
2006-01-01,大分県,1180,1326,1095
2006-01-01,宮崎県,1207,1322,1150
2006-01-01,鹿児島県,1758,1780,1746
2006-01-01,沖縄県,1532,1324,3216
2006-02-01,北海道,2622,3783,12839
2006-02-01,青森県,1051,1437,1124
2006-02-01,岩手県,975,1234,1292
2006-02-01,宮城県,2450,2550,4427
2006-02-01,秋田県,757,864,707
2006-02-01,山形県,854,889,799
2006-02-01,福島県,1561,1772,1712
2006-02-01,茨城県,3142,3211,3610
2006-02-01,栃木県,2273,2061,2310
2006-02-01,群馬県,1938,1813,2670
2006-02-01,埼玉県,10834,11081,12408
2006-02-01,千葉県,9431,9591,10715
2006-02-01,東京都,27446,23892,30846
2006-02-01,神奈川県,14029,13691,18652
2006-02-01,新潟県,1468,1730,1712
2006-02-01,富山県,831,754,847
2006-02-01,石川県,964,1109,1212
2006-02-01,福井県,573,640,646
2006-02-01,山梨県,858,1241,1303
2006-02-01,長野県,1902,1867,2750
2006-02-01,岐阜県,1958,2123,2230
2006-02-01,静岡県,3916,3714,4821
2006-02-01,愛知県,7499,6312,14771
2006-02-01,三重県,2106,1934,1913
2006-02-01,滋賀県,1822,1673,1821
2006-02-01,京都府,3391,3807,4227
2006-02-01,大阪府,9963,10625,16774
2006-02-01,兵庫県,6276,5900,9736
2006-02-01,奈良県,1736,2265,1620
2006-02-01,和歌山県,921,1014,1074
2006-02-01,鳥取県,564,624,529
2006-02-01,島根県,601,781,563
2006-02-01,岡山県,1961,2022,2084
2006-02-01,広島県,3330,3329,5616
2006-02-01,山口県,1611,1781,1695
2006-02-01,徳島県,746,755,1080
2006-02-01,香川県,1174,1138,1238
2006-02-01,愛媛県,1306,1538,1353
2006-02-01,高知県,700,785,1258
2006-02-01,福岡県,6136,5810,13272
2006-02-01,佐賀県,1125,1070,857
2006-02-01,長崎県,1407,1871,1581
2006-02-01,熊本県,1730,1879,2677
2006-02-01,大分県,1319,1285,1160
2006-02-01,宮崎県,1172,1250,1429
2006-02-01,鹿児島県,1707,1898,2157
2006-02-01,沖縄県,1597,1340,2920
2006-03-01,北海道,8951,15160,38466
2006-03-01,青森県,3930,6779,3324
2006-03-01,岩手県,3691,5816,5350
2006-03-01,宮城県,10131,12818,10046
2006-03-01,秋田県,2506,4386,2771
2006-03-01,山形県,2907,4949,3000
2006-03-01,福島県,5394,7828,7246
2006-03-01,茨城県,9201,11545,8920
2006-03-01,栃木県,6471,7607,5587
2006-03-01,群馬県,5083,6468,6159
2006-03-01,埼玉県,30990,27543,23796
2006-03-01,千葉県,31687,26756,22004
2006-03-01,東京都,87577,55371,57535
2006-03-01,神奈川県,47705,36889,35971
2006-03-01,新潟県,4692,7293,6208
2006-03-01,富山県,2713,3212,2381
2006-03-01,石川県,3335,4491,2865
2006-03-01,福井県,1812,2458,2022
2006-03-01,山梨県,2576,3498,3104
2006-03-01,長野県,6164,7336,9760
2006-03-01,岐阜県,5428,6377,5485
2006-03-01,静岡県,11364,13737,11291
2006-03-01,愛知県,25228,20375,30373
2006-03-01,三重県,5373,5936,4831
2006-03-01,滋賀県,6003,5287,3645
2006-03-01,京都府,11821,12203,9126
2006-03-01,大阪府,30869,29182,32737
2006-03-01,兵庫県,18065,18664,17329
2006-03-01,奈良県,4738,5810,3088
2006-03-01,和歌山県,2349,3271,1920
2006-03-01,鳥取県,1826,2425,1527
2006-03-01,島根県,2091,3125,2263
2006-03-01,岡山県,6345,7220,5475
2006-03-01,広島県,10468,11629,11135
2006-03-01,山口県,4407,5790,3482
2006-03-01,徳島県,2033,3095,2101
2006-03-01,香川県,4156,4523,2566
2006-03-01,愛媛県,4065,5182,4112
2006-03-01,高知県,1851,3003,2555
2006-03-01,福岡県,18555,19966,24843
2006-03-01,佐賀県,3034,3918,2336
